paperDOI,authorID,correspondingAuthor
e89dfa306723e8ef031765e9c44e5f6f94fd8fda,144658641,True
6f4486c3d8ccd638c2a6bcbfafa01b5a3225bcab,153016337,True
2eeff0f534d303581bc1199671600fbd04a2d01c,2225364164,True
2eeff0f534d303581bc1199671600fbd04a2d01c,1410071097,False
2eeff0f534d303581bc1199671600fbd04a2d01c,2225325036,False
2eeff0f534d303581bc1199671600fbd04a2d01c,2224113717,False
eac11727ef9c7c29711cb1ba82ef6f011e8ad78d,2258772335,True
eac11727ef9c7c29711cb1ba82ef6f011e8ad78d,2267275190,False
eac11727ef9c7c29711cb1ba82ef6f011e8ad78d,2120620052,False
b67cb8cac83ec0cb683d5378a0ca4d96c8176013,80470531,True
b67cb8cac83ec0cb683d5378a0ca4d96c8176013,144121289,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,1716508276,True
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,2243408972,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,50006545,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,2243412243,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,2078203152,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,2159384173,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,2003687008,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,144882464,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,5565754,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,11708863,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,12112205,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,4884356,False
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,6458651,False
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,72729174,True
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,2350447013,False
b9ede5f604668d0b62a306392cd03f47086e245e,143819435,True
b9ede5f604668d0b62a306392cd03f47086e245e,40470674,False
b9ede5f604668d0b62a306392cd03f47086e245e,144101458,False
b9ede5f604668d0b62a306392cd03f47086e245e,35802562,False
b9ede5f604668d0b62a306392cd03f47086e245e,143849569,False
50aaa8443a323df21d7ed4efbcbaf465a86dee49,2345322820,True
50aaa8443a323df21d7ed4efbcbaf465a86dee49,2345327280,False
50aaa8443a323df21d7ed4efbcbaf465a86dee49,2345322880,False
50aaa8443a323df21d7ed4efbcbaf465a86dee49,2345330491,False
50aaa8443a323df21d7ed4efbcbaf465a86dee49,2345266364,False
50aaa8443a323df21d7ed4efbcbaf465a86dee49,2078909624,False
50aaa8443a323df21d7ed4efbcbaf465a86dee49,2345325714,False
de4b9bc12ddb6b9f6090c032ef5c6290bd64ef36,1697177,True
de4b9bc12ddb6b9f6090c032ef5c6290bd64ef36,32239759,False
10f919b1a5161b560504c225cfb2d1b3a4768f80,67092021,True
10f919b1a5161b560504c225cfb2d1b3a4768f80,2117937034,False
10f919b1a5161b560504c225cfb2d1b3a4768f80,1976425918,False
10f919b1a5161b560504c225cfb2d1b3a4768f80,1974599,False
10f919b1a5161b560504c225cfb2d1b3a4768f80,,False
10f919b1a5161b560504c225cfb2d1b3a4768f80,36156845,False
10f919b1a5161b560504c225cfb2d1b3a4768f80,119918227,False
10f919b1a5161b560504c225cfb2d1b3a4768f80,47454309,False
10f919b1a5161b560504c225cfb2d1b3a4768f80,46829048,False
10f919b1a5161b560504c225cfb2d1b3a4768f80,2108094216,False
712fde4644bc9c7e3a59695396a2614bbde1fcb3,2242118069,True
712fde4644bc9c7e3a59695396a2614bbde1fcb3,2249715433,False
dfd1d219c7e1993bef152f79b81204a828b77d21,2110751949,True
dfd1d219c7e1993bef152f79b81204a828b77d21,152699208,False
12c6be503e4e5b7c9cb1810152d4364f26628a8d,1759658,True
12c6be503e4e5b7c9cb1810152d4364f26628a8d,2122929218,False
12c6be503e4e5b7c9cb1810152d4364f26628a8d,51238382,False
12c6be503e4e5b7c9cb1810152d4364f26628a8d,47829900,False
12c6be503e4e5b7c9cb1810152d4364f26628a8d,47653902,False
12c6be503e4e5b7c9cb1810152d4364f26628a8d,2181946372,False
12c6be503e4e5b7c9cb1810152d4364f26628a8d,2109724398,False
