conferenceID,name,type
01103732-3808-4930-b8e4-7e9e68d5c68d,North American Chapter of the Association for Computational Linguistics,conference
a720325d-33fa-4ab3-9435-9bc1e7d7b57b,International Conference on Adaptive and Intelligent Systems,conference
99e7c820-557f-47b2-80c8-1dd5c2fcbb55,EUROCON Conference,conference
c7bde2ee-6ad5-49c7-9498-a01e46c162eb,Extended Semantic Web Conference,conference
8dce23a9-44e0-4381-a39e-2acc1edff700,Annual International ACM SIGIR Conference on Research and Development in Information Retrieval,conference
660fae11-5025-4d24-a074-9abddd1549b5,Workshop on Algorithm Engineering and Experimentation,conference
771ca0c9-2fe7-4ba6-b560-161fa259dd08,INitiative for the Evaluation of XML Retrieval,conference
68cf0e99-5164-4480-8ed4-8b8416a091df,IEEE Annual Symposium on Foundations of Computer Science,conference
7bb54772-a70c-44df-9b9d-9f3b5354c0e2,IEEE International Parallel and Distributed Processing Symposium,conference
41bf9ed3-85b3-4c90-b015-150e31690253,Conference on Empirical Methods in Natural Language Processing,conference
f51ff783-cdff-4e22-94fb-28e6336d17b3,International Conference on Computational Linguistics,conference
61275a16-1e0d-479f-ac4e-f295310761f0,ACM Conference on Recommender Systems,conference
7431ff67-91dc-41fa-b322-1b1ca657025f,International Conference on Information and Knowledge Management,conference
69d79d4c-49aa-4c2b-b616-80100a634f67,Networks,conference
3779a5a7-9119-4f69-84fe-f7eef193eb49,Conference on Computational Natural Language Learning,conference
9c06885c-ecb6-4a76-ba1e-fbad53521efd,Annual Meeting of the Cognitive Science Society,conference
2d136b11-c2b5-484b-b008-7f4a852fd61e,International Conference on Artificial Intelligence and Statistics,conference
efa3ff7a-4d96-44a1-a022-a683408919b6,International Workshop on the Semantic Web,conference
919a5844-0942-4d5d-b6e6-db0225a1ccbf,International Congress of Mathematicans,conference
cd5a23bb-3d80-4d6e-b18e-03768fea71db,International Conference on Big Knowledge,conference
3cc27fc0-199e-40a9-b9fa-7f881272eb01,Data Science Workshop,conference
8107ca1c-f651-4769-86dc-3d94a7b5ac26,International Conference on Database Systems for Advanced Applications,conference
a45e99db-b6f6-4042-8b23-e8c11867e01c,IFIP Congress,conference
914d4734-285a-4cd8-bba1-eec0db26a512,International Conference on Supercomputing,conference
