paperDOI,citedPaperDOI
b313140bde3d9d8ed96f405674fd243e270104fb,572e93355389ef5fa94c7ffbb47c8570cd72ca71
b313140bde3d9d8ed96f405674fd243e270104fb,c7e5508112a96a7ee9b47cd483a7f21cb64a8626
b313140bde3d9d8ed96f405674fd243e270104fb,d407f106abb91a3c25795b8c8f831ccd70481848
b313140bde3d9d8ed96f405674fd243e270104fb,3b7236a0c0163ed13b9f5eb4ba91c462b81e4d6e
b313140bde3d9d8ed96f405674fd243e270104fb,6351ebb4a3287f5f3e1273464b3b91e5df5a16d7
b313140bde3d9d8ed96f405674fd243e270104fb,268d347e8a55b5eb82fb5e7d2f800e33c75ab18a
b313140bde3d9d8ed96f405674fd243e270104fb,530a059cb48477ad1e3d4f8f4b153274c8997332
b313140bde3d9d8ed96f405674fd243e270104fb,204e3073870fae3d05bcbc2f6a8e263d9b72e776
b313140bde3d9d8ed96f405674fd243e270104fb,2c03df8b48bf3fa39054345bafabfeff15bfd11d
b313140bde3d9d8ed96f405674fd243e270104fb,fa72afa9b2cbc8f0d7b05d52548906610ffbb9c5
b313140bde3d9d8ed96f405674fd243e270104fb,3efd851140aa28e95221b55fcc5659eea97b172d
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,c44763df0d165e3fef6acbaf729f625704a427d3
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,03dac183ea64aba831d6dfaa549677091acdfe3f
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,9e574373ef1e8b4ded223b9e70a1c1853314020f
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,6ee01c85003010e35356b9db249b3160d224714f
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,b45165aba7ff801d1e51811ec72dc280138d339d
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,d407ca87e1944ea84d6899386a2a8812405e5525
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,34f6569f8000a8a33ffe8820fe3a3bd91a02d3f2
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,f63b66a3ca43084b668c1cce19ee00e68356867d
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,4583725945ff17f139215b210878b0a2e2d29bc2
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,1a6581cdc1ba19856a193c262e3a37012a0733f1
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,f134abeaf9bfd41f29b97aec675ec31895bf541d
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,10f919b1a5161b560504c225cfb2d1b3a4768f80
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,e1ec11a1cb3d9745fb18d3bf74247f95a6663d08
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,ba5ddf300290eb699dadab0ae0aed5a67a64816c
22ff1f6f4df0497323ac03f446cbc49463128486,a45ff64e22f8005d563fed1ee545ddc98aab9766
22ff1f6f4df0497323ac03f446cbc49463128486,dd4dc681cba9337748105482586cfff558911cb7
22ff1f6f4df0497323ac03f446cbc49463128486,a046daa116020f482eeb94c97daa89571833bf3c
4583725945ff17f139215b210878b0a2e2d29bc2,f884c9cd761732a2b41849c1ec0e0a33585ae854
4583725945ff17f139215b210878b0a2e2d29bc2,1e490d1e7ba2d4698169a058bdb3b2eb267ab101
4583725945ff17f139215b210878b0a2e2d29bc2,ba5ddf300290eb699dadab0ae0aed5a67a64816c
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,9534e6b18c015575f7f49d5a1252c6a854a690d7
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,2e8aeb7725546ad99a70e3580290371709f28ac9
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,6ff75ef14c71e606d76ad186a8c9515344ecc9a9
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,4638c153cdefafcf5a80588ec93ade6a5558d490
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,dc1f8bac44b0376d2d043f114a6304aa2526095a
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,c1a26a507b79e510916956ecf13156c9e4b33c31
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,a1224ef0d9e9bfbb021278c482c2f4d02217320f
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,e3bd45892ff2d502eaad65e9b0858d213111e9ae
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,3409e518066038279abe7d43be851ac22990457a
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,6855557b3ae4cb70c758fa2b89d43221b33ecede
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,f779d3c8427bc47fa0b6ecde4ff6173e47afc1f2
9faa2b0e5cb93f20df0555c3c350fab0b2eccf3a,5425de16356015c2f26d2a50684c6c46d6998f51
